subject,stableAlpha,stableBeta,volatileAlpha,volatileBeta
56a89ce27f2472000b937677,0.141786530704597,3.40581528548784,0.62137956149639,1.12304724019518
587625efdb3e720001e233fb,0.246976708882682,1.55901072095379,0.756782606097114,0.436046259197577
58c62eac444ade00010231a9,0.019987587728282,4.02734430162486,0.690325549053812,0.0387668621673773
58f669cefb4d7500014af69b,0.45038735579994,0.0959668388597213,0.784556106178672,0.339271020039423
5932ccd3cf0d9600010e91c3,0.0682049102138776,7.38380113841037,0.781243940182731,0.883168198437258
5a8a8de6000dab00018cc170,0.295208866877481,5.13378751441589,0.294878325968387,1.49924939241008
5b0a9b13444cef0001ca2b32,0.174628369687367,11.4515171551102,0.99307805705824,0.647687336258138
5c18daaae467040001e68fc4,0.413144799568581,2.42353255175326,0.413796437148908,1.45966715522422
5c483503f9a8170001505511,0.393528436733341,0.380724142064847,0.00330359855461909,0.472069118463383
5c5ca0ce4ee81200018eaf51,0.241215702266941,5.39965852517167,0.251790120484848,2.07694249899713
5cafc532dc47cb0001e3eceb,0.149807481124822,2.12097245926119,0.363549910515745,0.2549375808672
5d60061e45714d00019ad6a4,0.0458760050611411,3.08021676553128,0.240466141874957,1.29530157265357
5d8cef3c28e183001a335ab0,0.0177094152456316,1.9812440841183,0.288292418503018,0.660575394766105
5d8e622ac42e4e0019530ec6,0.705193792801692,1.43403963343131,0.480662615260989,0.840605563622497
5d934d95c6a8b20014a0351a,0.503422039722203,2.05985057276788,0.952665524645999,0.568583921447936
5dafea4de40355001651fa2f,0.0270025699579135,2.41788819414413,0.0177996468390878,0.85694497527456
5dde58915a40f2dbc569e398,0.0250929590949668,3.93050890989368,0.607246112918045,0.503316281960986
5e5c993cd0394c474f7cc502,0.281982356236034,7.2742576440459,0.011158691966669,1.48612697022791
5e766b0ba02ca51dfa1de797,0.0924694101801486,3.20152974601664,0.293452278732767,0.376413068526562
5ee1e7cbe22cf201c7afe3ee,0.0575468725851194,4.99545196999283,0.203384050466343,1.26659460277312
